 Enable Order Type Edit,تفعيل تعديل نوع الطلب,
% of selected sales,٪ من المبيعات المحددة,
<br>,<br>,
<li>Daily Gross Salary Cost is calculated from employees attendance.</li>,<li>تُحتسب تكلفة الرواتب اليومية الإجمالية من حضور الموظفين.</li>,
ABV,متوسط قيمة الفاتورة,
AC,مكيّفة,
About,حول النظام,
Active Info,معلومات النشاط,
Add Item,إضافة صنف,
Additional Details,تفاصيل إضافية,
Address,العنوان,
Aggregator ID,معرّف منصة الطلبات,
Aggregator Series Prefix,بادئة ترقيم منصة الطلبات,
Aggregator Settings,إعدادات منصات الطلبات,
Aggregators,منصات الطلبات,
Aggregators Settings,إعدادات منصات الطلبات,
All,الكل,
Allow Cashier To Edit And Remove Table Order Items,السماح لأمين الصندوق بتعديل أصناف طلب الطاولة وحذفها,
Allow Cashier To View All Status,السماح لأمين الصندوق بعرض جميع الحالات,
Amended From,معدّل من,
Amount,المبلغ,
Applied for both Sales Invoice and POS Invoice,يُطبّق على فاتورة المبيعات وفاتورة نقطة البيع,
Arrived Time,وقت الوصول,
Average Bill Value,متوسط قيمة الفاتورة,
Bill,الفاتورة,
Bill Nos,أرقام الفواتير,
Bill Nos:Link/POS Invoice,أرقام الفواتير,
Bill Merge Details,تفاصيل دمج الفواتير,
Block Takeaway KOT,حظر تذكرة المطبخ للطلبات الخارجية,
Branch,الفرع,
Breakup,التفصيل,
Burning Materials (Other Consumables),المواد المستهلكة (مستهلكات أخرى),
Buying Price,سعر الشراء,
Buying Price List,قائمة أسعار الشراء,
Cancel,إلغاء,
Cancellation Reason,سبب الإلغاء,
Cancelled By,ألغيت بواسطة,
Cancelled,ملغاة,
Cancelled Invoices,الفواتير الملغاة,
Cancelled Qty,الكمية الملغاة,
Cart Items,أصناف السلة,
Circle,دائرة,
Cash Discounts,الخصومات النقدية,
Cashier,أمين الصندوق,
Change Amount,المبلغ المرتجع,
Click Enter To Add,اضغط Enter للإضافة,
Closing Amount,مبلغ الإغلاق,
Comment,تعليق,
Comments,تعليقات,
Company,الشركة,
Cost Of Goods,تكلفة البضاعة,
Cost Of Goods Sold (Breakup),تفصيل تكلفة البضاعة المباعة,
Cost Per Unit,التكلفة لكل وحدة,
Cost of Goods Sold,تكلفة البضاعة المباعة,
Cost of Goods Sold Percent,نسبة تكلفة البضاعة المباعة,
Course,مرحلة التقديم,
Course Icon,أيقونة مرحلة التقديم,
Create Invoice without Tax,إنشاء فاتورة بدون ضريبة,
Current Order,الطلب الحالي,
Customer,العميل,
Customer ID,معرّف العميل,
Customer Data,بيانات العملاء,
Customer Group,مجموعة العملاء,
Customer Name,اسم العميل,
Customer Territory,منطقة العميل,
Customer group,مجموعة العملاء,
Daily Fixed,الثابت اليومي,
Daily P and L Settings,إعدادات الأرباح والخسائر اليومية,
Date,التاريخ,
Daywise Customer Details,تفاصيل العملاء حسب اليوم,
Daywise Invoices,الفواتير حسب اليوم,
Daywise Sales,المبيعات حسب اليوم,
Default Menu,القائمة الافتراضية,
Default Mode Of Payments,طرق الدفع الافتراضية,
Default Price List,قائمة الأسعار الافتراضية,
Default Room,الصالة الافتراضية,
Default Tax Template,قالب الضرائب الافتراضي,
Delivery,توصيل,
Depreciation,الإهلاك,
Depreciation Percent,نسبة الإهلاك,
Details,التفاصيل,
Difference,الفرق,
Direct Expenses,المصروفات المباشرة,
Door,باب,
Direct Fixed Expenses,المصروفات المباشرة الثابتة,
Disabled,معطّل,
Discounts & Round Offs,الخصومات وفروق التقريب,
Discounts & Round Offs Percent,نسبة الخصومات وفروق التقريب,
Draft,مسودة,
Driving,قيادة,
Duplicate,مكررة,
Electricity Closing,قراءة الكهرباء الختامية,
Electricity Opening,قراءة الكهرباء الافتتاحية,
Electricty Charges,تكلفة الكهرباء,
Employee,الموظف,
Employee Cost,تكلفة الموظفين,
Employee Cost Percent,نسبة تكلفة الموظفين,
Employee Costs,تكاليف الموظفين,
Employee Item Wise Sales,مبيعات الأصناف حسب الموظف,
Employee Sales,مبيعات الموظفين,
Enable Discount,تفعيل الخصم,
Enable KOT Audio Alert,تفعيل التنبيه الصوتي لتذكرة المطبخ,
Enable KOT Reprint,تفعيل إعادة طباعة تذكرة المطبخ,
Enable Multiple Cashier,تفعيل تعدد أمناء الصندوق,
Enable order type wise display on mosaic,تفعيل العرض حسب نوع الطلب في شاشة المطبخ,
Enable discount feature in URY POS,تفعيل خاصية الخصم في نقطة بيع URY,
Enabled,مفعّل,
"Enables Cashiers to view all statuses (Paid, Consolidated, Return Invoices) in the recent order.",يتيح لأمناء الصندوق عرض جميع الحالات (مدفوعة ومجمّعة ومرتجعة) ضمن الطلبات الحديثة.,
Enter Units Consumed,أدخل الوحدات المستهلكة,
Expected Amount,المبلغ المتوقع,
Expense,المصروف,
Extended Hours,الساعات الإضافية,
Failed,فشل,
Favorite Item,صنف مفضّل,
Favorite Items,الأصناف المفضّلة,
Frappe Support,دعم Frappe,
From Date,من تاريخ,
Grand Total,الإجمالي الكلي,
Gross Profit/Loss,إجمالي الربح أو الخسارة,
Gross Profit/Loss Percent,نسبة إجمالي الربح أو الخسارة,
Gross Sales,إجمالي المبيعات,
Gross Sales Percent,نسبة إجمالي المبيعات,
Image,الصورة,
Includes in Total Indirect Expense,يُحتسب ضمن إجمالي المصروفات غير المباشرة,
Indicate Course,تحديد مرحلة التقديم,
Indicate In KDS,إظهاره في شاشة المطبخ,
Indirect Expenses,المصروفات غير المباشرة,
Indirect Fixed Expenses,المصروفات غير المباشرة الثابتة,
Invoice,الفاتورة,
Invoice:Link/POS Invoice,الفاتورة,
Invoice Created,تم إنشاء الفاتورة,
Invoice Creation Time,وقت إنشاء الفاتورة,
Invoice Printed,تمت طباعة الفاتورة,
Invoice Series Prefix,بادئة ترقيم الفاتورة,
Is Aggregator,طلب عبر منصة,
Is Take Away,طلب خارجي,
Item,الصنف,
Item Add On,إضافة الصنف,
Item Code,رمز الصنف,
Item Group,مجموعة الصنف,
Item Groups,مجموعات الأصناف,
Item Name,اسم الصنف,
Item Total,إجمالي الأصناف,
Item Wise Sales,المبيعات حسب الصنف,
Item name,اسم الصنف,
Items,الأصناف,
KDS Order Type,نوع الطلب في شاشة المطبخ,
KDS Settings,إعدادات شاشة المطبخ,
KOT,تذكرة المطبخ,
KOT Items,أصناف تذكرة المطبخ,
KOT Print,طباعة تذكرة المطبخ,
KOT Print Format,تنسيق طباعة تذكرة المطبخ,
KOT Settings,إعدادات تذكرة المطبخ,
KOT Warning Time,مدة التحذير لتذكرة المطبخ,
KOT alert sound,صوت تنبيه تذكرة المطبخ,
Keep Sales Invoice Unpaid,إبقاء فاتورة المبيعات غير مدفوعة,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Latest Invoice Time,وقت أحدث فاتورة,
Layout Height,ارتفاع المخطط,
Layout Position,موضع المخطط,
Layout Width,عرض المخطط,
Layout X,موضع المخطط أفقيًا,
Layout Y,موضع المخطط رأسيًا,
Linked Invoices,الفواتير المرتبطة,
Main Cashier,أمين الصندوق الرئيسي,
MONTH,الشهر,
Material,المادة,
Materials Consumed,المواد المستهلكة,
Menu,القائمة,
Menu For Room,قائمة الصالة,
Menu Info,معلومات القائمة,
Menu for Room,قائمة الصالة,
Merged POS Invoice,فاتورة نقطة البيع المدمجة,
Merged POS Invoice Details,تفاصيل فاتورة نقطة البيع المدمجة,
Merged Tables,الطاولات المدمجة,
Merged Total,الإجمالي المدمج,
Merged With,مدمجة مع,
Minimum Seating,الحد الأدنى للمقاعد,
Mobile Number,رقم الجوال,
Mode of Payment,طريقة الدفع,
Modified time,وقت التعديل,
Month Wise Sales,المبيعات حسب الشهر,
Monthly Fixed,الثابت الشهري,
Monthly Fixed Expenses,المصروفات الشهرية الثابتة,
Multiple Cashier Configuration,إعداد تعدد أمناء الصندوق,
Multiple Rooms,صالات متعددة,
NON-AC,غير مكيّفة,
Net Profit/Loss,صافي الربح أو الخسارة,
Net Profit/Loss Percent,نسبة صافي الربح أو الخسارة,
Net Sales,صافي المبيعات,
Net Sales Percent,نسبة صافي المبيعات,
Net Total,صافي الإجمالي,
